Entry number,Primary image,Volume and folio,Volume,Type,Script,Occupations [Synthesised],Occupations stated in main metadata,Additional occupations & titles in body of deposition,Stated activities in body of text,Expertise or relationships evident in body of text,Date of deposition. MODERNIZED; ENGLISH CALENDAR ,Ship specified in which shipped or supplied to ,Ship master or skipper of captain ,Town and/or province and/or county to which primary ship belonged [with which deponent associated],COMPOSITE BURTHEN [tons],Details of ship's lading and her laders; including value of lading; and freight charges,Documents [letters; books; journals; notes; verbal contracts]; Making & Use of documents,"Language, reading & writing skills, quantitative skills; weighing; navigation skills; mapping skills; schools",Financial structures [bills of exchange; lending; assurance]; Late payments for freight; Legal agreements; Verbal contracts; Bonds; Debts; Bankruptcy; Currency exchange; Bullion; Trading profit calculations,Current country,Street/Hamlet,Parish/Precinct/Liberty,Town/Borough,"County, Province or Region",Age,Year of deposition,First name,Middle names,Surname,Voyage nodal points
15987,21091023_150033,KaggleTestSnippet_HCA_1361_f.209r.PNG,HCA 13/61,Signature,Roman,"Nauta [mariner]; Master [of the Dove]; Commander [of the Dove]; Brother-in-law of Thomas Chetterly, who shipped elephants teeth from Barbados to his wife in Wapping",Mariner,Master [of the Dove]; Commander [of the Dove],,"Brother-in-law of Thomas Chetterly, who shipped elephants teeth from Barbados to his wife in Wapping",Nov 21st 1648,Dove,John Acland [master and commander],,,"LADING AT BARBADOS: SUGARS; COTTON WOOL; TOBACCO; GINGER; INDIGO; ELEPHANTS TEETH; OTHER GOODS  ""Hee knoweth what hee hath predeposed to be true because hee was then master of the said shipp the Dove and went the said voyage and was at the Barbados when the said teeth were laden"" (HCA 13/61 f.209r); ","""Since the comminge home ofthe said shipp from the Barbadoes this last voyage the said Chetterleys wife either came or sent to this deponent (but whether shee came orsent hee remembreth not) to enwuire of her husband, and this deponent to his best remembrance either tolde her or the messenger sent by her that hee had a token aboard his said shipp for her from her husband and being asked what it was, hee said it ws a parcell of elephants teeth, and that his boateswaine could give her notice what the quantitie thereof was"" (HCA 13/61 f.209r); ""Hee made a proffer of buying the elephants teeth inquestion of the said Chetterleys wife and proffered a summe of money for the same, but howe much hee remembreth not, and albeit hee made the said motion, yet hee saith hee intended with himselfe not to buy the same, and this deponent gave order to his boateswaines mate to deliver the said teeth ashore to the said Chetterley's wife"" (HCA 13/61 f.309r); ""And saith the schedule annexed (and nowe showne unto him) is wholly written and subscribed with the proper hand of him this deponent"" (HCA 13/61 f.209r)",,,England,,Saint Olaves Southwark,Southwark,Surrey,43,1648,Johannes,,Ackland,[?/Barbados/London [England]]
15988,21091023_150038,KaggleTestSnippet_HCA_1361_f.209v_One.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Master [of the Dove]; Commander [of the Dove],Mariner,Master [of the Dove]; Commander [of the Dove],,,Nov 21st 1648,Dove,John Acland [master and commander],,,LADING AT BARBADOS: SUGARS; COTTON WOOL; TOBACCO; GINGER; INDIGO; OTHER GOODS,,,,England,,Saint Olaves Southwark,Southwark,Surrey,43,1648,Johannes,,Ackland,[?/Barbados/London [England]]
16071,21091023_150939,KaggleTestSnippet_HCA_1361_f.274v_Two.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Master [of the Dove]; Commander [of the Dove],Mariner,Master [of the Dove]; Commander [of the Dove],Loaded gold at Barbados brought by Elizabeth from Guinea,,,Dove,John Acland [master and commander],,,LADING AT BARBADOS: SUGARS; COTTON WOOL; TOBACCO; GINGER; INDIGO; OTHER GOODS,,,,England,,Saint Olaves Southwark,Southwark,Surrey,45,1649,Johannes,,Ackland,[?/Barbados/London [England]]
16425,21091023_155711,KaggleTestSnippet_HCA_1361_f.484v.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Gunner's mate [of the Seaven Brothers of London],Mariner,Gunner's mate [of the Seaven Brothers],,,May 19th 1649,Seaven Brothers of London,Robert Land [master],London {England],,,,,,England,Shadwell,Stepney,,Middlesex,29,1649,Petrus,,Ackland,[London?/Near Malaga [Spain]/?/London [England]]
16220,21091023_152731,KaggleTestSnippet_HCA_1361_f.394r_Two.PNG,HCA 13/61,Marke,Roman,Nauta [mariner] [not associated with a specific ship],Mariner,,Lived in Liverpoole,,,,,,,,,,,England,Shadwell,Stepney,,Middlesex,31,1649,Thomas,,Adams,
16122,21091023_151733,KaggleTestSnippet_HCA_1361_f.329r_One.PNG,HCA 13/61,Marke,N/A,Boatswain's mate [of the Saint Gregorie of Hoorn],N/A,Boatswain's mate [of the Saint Gregorie of Hoorn of Hoorn],Having sayled on the Saint Gregorie for these last siz monethes,,,Saint Gregorie of Hoorn,John Johnson Poortier,Hoorn [Holland; United Provinces],,,,"""Hee was once in England in summer last was twelve moneth before the voyage and saith that hee hath understood manie English words ever since, but cannot readilye speake anie"" (HCA 13/61 f.329r)",,Denmark,,,Copenhagen,,24,1649,Erasmus,,Albertson,[River Thames]
16299,21091023_153924,KaggleTestSnippet_HCA_1361_f.429v_One.PNG,HCA 13/61,Signature,Roman,Mercator [merchant]; Reviewed books of dead man concerning gold to be delivered in London,Merchant,,Reviewed books of dead man concerning gold to be delivered in London,,,John,,,,,"""The said booke was and is the booke that was kept by the arlate John Amery whilest hee lived touching the golde of the company of the shipp the John arlate and some private accompts of his owne for the sayd voyage, which booke after his the said Amerys death comming to the hands of the arlate Richard Webster, hee the said Webster and Captaine Andrews brought the same to this deponent to make out the accompts touching that voyage betwixt Mr Vassall and company and the said Webster and the wife of the said Emery. And saith that hee having perused and compared diverse letters and other writings of the said Amerys with the said booke, hee findeth that the said booke is written with his the said Emeries hand, and this deponent findeth not by the said booke that there is any more gold sent or to be delivered to the arlate Cragge or any other deriving any title from him then is set downe folio 4 of the said booke whereunto hee referreth himselfe"" (HCA 13/61 f.429r); ""Hee this deponent hath had the keeping of the said booke ever since Webster brought the same home, till it was brought into this Court, and in all that while it hath not bin altered, and as hee beleeveth and perceiveth by the same, it hath not bin altered since his the said Amereys death"" (HCA 13/61 ff.429r-429v)",,,England,,All Hallows at Wall,,,64,1649,Humfridus,,Aldnington,NO VOYAGE DETAILS
15994,21091023_150048,KaggleTestSnippet_HCA_1361_f.211r_Two.PNG,HCA 13/61,Initials,Roman,"Lighterman; Former servant [to James Bartlett, lighterman]",Lighterman,"Former servant [to James Bartlett, lighterman]",,,,Greene Dragon,John Bowden,,,,,,,England,N/A,Stepney,,Middlesex,48,1648,Willielmus,,Allen,[River Thames]
16101,21091023_151148,KaggleTestSnippet_HCA_1361_f.291r_One.PNG,HCA 13/61,Marke,N/A,Shipwright [on ship]; One of the company [of the Saint Jacob of Middleburg],Shipwright [on ship],One of the company [of the Saint Jacob of Middleburg],Hired at Waterford to haelp carry the shipp the Saint Jacob from thence to Middleborough,,Mar 7th 1649,Saint Jacob of Middleburg,Jacob Derrickson Weester [skipper],Middleburg [Zeeland; United Provinces],,"LADING AT WATERFORD: COTTON WOOL; SHEEP SKINS; WOAD; TALLOW; SALMON; WILLSTONES ""At the time of the taking of the said shipp shee had on board her cotton wooll, sheep skinns, wode, tallowe, and barrells of salmon, as alsoe foure pire of small milstons being as hee conceiveth to grinde malt with"" (HCA 13/61 f.291r)",,,,England,,,Yarmouth,Norfolk,41,1649,John,,Allen,[?/Waterford [Ireland]/Middleburg [Zeeland; United Provinces]
16152,21091023_152043,KaggleTestSnippet_HCA_1361_f.349v.PNG,HCA 13/61,Initials,N/A,Naupagus [shipwright] [on ship] [of the William and Richard],Shipwright,Carpenter [of the William and Richard],,,,William and Richard,John Tottey [master],,,,,,,Scotland,,,Yarmouth,Norfolk,42,1649,Johannes,,Allen,[River Thames; near Blackwall stairs; at anchor; bound outwards; fouled]
16234,21091023_153500,KaggleTestSnippet_HCA_1361_f.401r_Two.PNG,HCA 13/61,Signature,Roman,Waterman; Formerly one of the company [of the Tyger],Waterman,Formerly one of the company [of the Tyger],,,,Tyger Frigate,Captain Peacock [captain],,,,"""About a weeke after the said seizure this deponent found in the holde of the said shipp the Swallowe under a bagge of hopps about 16 or 17 letters in an olde shirt sleeve, some of which letters hee saith were directed to Waterford and others of them to Wexford in Ireland as this deponent heard the superscriptions thereof read over by some of the company of the man of warr"" (HCA 13/61 f.401r)",,,England,,,Harwich,Essex,29,1649,Samuell,,Allen,[?/Mounts Bay [Cornwall; England]/?]
15753,21091023_143822,KaggleTestSnippet_HCA_1361_f.80v_One.PNG,HCA 13/61,Signature,Roman,Civis [citizen] and Scriptor [scrivener],Citizen; Scrivener,,,,,,,,,,,,,England,,Saint Margaret Lothbury,London,,38,1648,Josephus,,Alport,
16478,21091023_155948,KaggleTestSnippet_HCA_1361_f.504v_One.PNG,HCA 13/61,Signature,Roman,"Servant [to Nicholas Skynner, London merchant]",Servant,,,,,Saint Catherine of Longsound,Eerick Peterson,Longsound [Norway],,,"""On or about the nineth day of the moneth of January last past Mr John White merchant interrogate, did upon the Exchange London tender unto the foresaid Mr Nicholas Skinner to be underwritten a pollicie of assurance in the Saint Katherine of Longsound, from Plymouth to Liverpoole interrogated, which hee knoweth because hee sawe and perused the said pollicie of assurance. And saith that the said Mr Skinner having viewed the same, tould the said Mr White in this deponents presence and hearing that hee would not meddle therwith in regard of the danger of Irish men of warre on those coasts, to which hee saith the said Mr White made answer that the shipp should not stirre without Convoy, and moved and incouraged the said Mr Skinner to underwrite £200, but Mr Skinner replying that £100 was enough, and that hee would not underwrite a penny unlesse the said shippe were to goe with Convoye, the said White further said, that shee should not stirre without Convoye,  upon which the said Mr Skinner underwrote £100, whereas hee beleeveth that hee would not have underwritten a penny as himselfe said, had not the said Mr White assured him that the said shipp was to have Convoye, for hee soe farr  relyed upon the said Mr Whites promise of a Convoy, that hee forthwith gave order to this deponent being his servant assoone as hee came home to take notice in writing of the said Mr Whites said promise of Convoye, and this deponent did accordingly take notice of the same in writing, which writing hee hath nowe lately perused, and thereby the better  calleth the premisses to minde"" (HCA 13/61 f.504v); ""He was present at the house of the said Mr Skinner situat in Saint Nicholas Lane London at the subscription of him the said Mr Skinner"" (HCA 13/61 f.504v)",,"""On or about the nineth day of the moneth of January last past Mr John White merchant interrogate, did upon the Exchange London tender unto the foresaid Mr Nicholas Skinner to be underwritten a pollicie of assurance in the Saint Katherine of Longsound, from Plymouth to Liverpoole interrogated, which hee knoweth because hee sawe and perused the said pollicie of assurance. And saith that the said Mr Skinner having viewed the same, tould the said Mr White in this deponents presence and hearing that hee would not meddle therwith in regard of the danger of Irish men of warre on those coasts, to which hee saith the said Mr White made answer that the shipp should not stirre without Convoy, and moved and incouraged the said Mr Skinner to underwrite £200, but Mr Skinner replying that £100 was enough, and that hee would not underwrite a penny unlesse the said shippe were to goe with Convoye, the said White further said, that shee should not stirre without Convoye,  upon which the said Mr Skinner underwrote £100, whereas hee beleeveth that hee would not have underwritten a penny as himselfe said, had not the said Mr White assured him that the said shipp was to have Convoye, for hee soe farr  relyed upon the said Mr Whites promise of a Convoy, that hee forthwith gave order to this deponent being his servant assoone as hee came home to take notice in writing of the said Mr Whites said promise of Convoye, and this deponent did accordingly take notice of the same in writing, which writing hee hath nowe lately perused, and thereby the better  calleth the premisses to minde"" (HCA 13/61 f.504v); ""He was present at the house of the said Mr Skinner situat in Saint Nicholas Lane London at the subscription of him the said Mr Skinner"" (HCA 13/61 f.504v)",England,,Saint Nicholas Acons,London,,22,1649,Thomas,,Amy,[?/Plymouth [Devon; England]/Liverpool [England]/?]
15904,21091023_145451,KaggleTestSnippet_HCA_1361_f.171r.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Gunner [of the Mary of London],Mariner,Gunner [of the Mary of London],,,,Mary of London,,London [England],,,,,,England,N/A,Stepney,,Middlesex,42,1648,Samuel,,Andrewes,[London [England]/Bantam [East Indies]/London [England]]
16165,21091023_152159,KaggleTestSnippet_HCA_1361_f.359r_Two.PNG,HCA 13/61,Signature,Roman,Mercator [merchant]; On board the ship the William and Richard as she warped down the River Thames,Merchant,,On board the ship the William and Richard as she warped down the River Thames,,,William and Richard,John Tottey [master],,,,,,,England,,All Hallows by the Wall,London,,52,1649,Petrus,,Andrewes,[River Thames; near Blackwall stairs; at anchor; bound outwards; fouled]
16361,21091023_154250,KaggleTestSnippet_HCA_1361_f.454v_One.PNG,HCA 13/61,Initials,Roman,Nauta [mariner]; Master [of the Foure Sisters],Mariner,Master [of the Foure Sisters],,,,Foure Sisters [hoy],George Andrewes [master],,,,"""Which he knoweth being master as aforesaid and receiving the said goods on board and entring the same in his booke and signing bills of lading for the same"" (HCA 13/61 f.454r)",,,England,,,Boston,Lincolnshire,38,1649,Georgius,,Andrewes,[Boston [Lincolnshire; England]/London [England]/?]
16003,21091023_150121,KaggleTestSnippet_HCA_1361_f.214v.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Gunner [of the Dove],Mariner,Gunner [of the Dove],,,,Dove,John Acland [master and commander],,,LADING AT BARBADOS: SUGARS; COTTON WOOL; TOBACCO; GINGER; INDIGO; OTHER GOODS,,,,England,N/A,Stepney,,Middlesex,40,1648,Henricus,,Angell,[?/Barbados/London [England]]
16083,21091023_151028,KaggleTestSnippet_HCA_1361_f.281r_One.PNG,HCA 13/61,Marke,N/A,Mariner; Went forth [in the Constant],Mariner,,Went forth in the Constant,,,Constant,Captain Richard Parr [captain],,,,,,,England,Shadwell,Stepney,,Middlesex,40,1649,John,,Annis,[?/Barbados/?]
16289,21091023_153834,KaggleTestSnippet_HCA_1361_f.424v_Two.PNG,HCA 13/61,Signature,Roman,Scriptoris [scrivener],Scriptoris [scrivener],,"Present at the signing, sealing and delivery of a bill of sale for part of the ship the Reformation",,,Reformation,,,,,,,,England,,Saint Olaves Southwark,Southwark,Surrey,29,1649,Lazarus,,Annis,NO VOYAGE DETAILS
15758,21091023_143854,KaggleTestSnippet_HCA_1361_f.84r.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; One of the company [of the Caesar of London],Mariner,One of the company [of the Caesar of London],,,,Caesar of London,Captain Vincent Harris,London [England],700,,,,,England,,Saint Trinity in the Minories,London,,20,1648,Isaac,,Ansley,[?/Albozine [Barbary]/Cadiz [Spain]/Alboazine [Barbary]/?]
16421,21091023_155650,KaggleTestSnippet_HCA_1361_f.482v.PNG,HCA 13/61,Signature,Roman,Mercator [merchant],,,,,,,,,,,,,,England,,Saint Christophers by the Royal Exchange,London,,39,1649,Jacobus,,Antfosso,
15695,21091023_143137,KaggleTestSnippet_HCA_1361_f.37v_Two.PNG,HCA 13/61,Signature,Roman,Merchant,Merchant,,,,,,,,,,,,,?,,,Rosse,,20,1648,John,,Archdeacon,
16332,21091023_154105,KaggleTestSnippet_HCA_1361_f.442r.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Carpenter [on ship] [of the Saint ffrancis of Amsterdam]; One of the company [of the Saint ffrancis of Amsterdam],Mariner,Carpenter [of the Saint ffrancis of Amsterdam]; One of the company [of the Saint ffrancis of Amsterdam],,,,Saint ffrancis of Amsterdam,,,,,,,,United Provinces [Holland],,,Roadebrooke,Hollan,38,1649,Hercules,,Arentson,NO VOYAGE DETAILS
15890,21091023_145401,KaggleTestSnippet_HCA_1361_f.165r.PNG,HCA 13/61,Initials,Roman,Nauta [mariner]; One of the company [of the Margarets Joye],Mariner,One of the company [of the Margarets Joye],,,Sep 14th 1648,Margarets Joye,Thomas Rudds [master],,,,,,,England,,Saint Mary Matsellon alias Whitechapel,,,50,1648,James,,Armestrong,[?/At anchor; River Humber; fouled/?]
16393,21091023_154451,KaggleTestSnippet_HCA_1361_f.467r_Two.PNG,HCA 13/61,Marke,N/A,Mariner [of the Tiger Frigate],Mariner [of the Tiger Frigate],,,,,Tiger Frigate,James Peacocke [captain],,,,,,,England,Ratcliffe,Stepney,,Middlesex,30,1649,John,,Arnold,NO VOYAGE DETAILS
15929,21091023_145629,KaggleTestSnippet_HCA_1361_f.183v.PNG,HCA 13/61,Initials,N/A,Nauta [mariner]; One of the company [of the Thomas of Woodbridge],Mariner,One of the company [of the Thomas of Woodbridge],,,Oct 18th 1648,Thomas of Woodbridge,William Smith,Woodbridge [Suffolk; England],,LADING AT NEWCASTLE: COAL,,,,England,,,Woodbridge,Suffolk,42,1648,Johannes,,Arwell,[London [England]/Newcastle [England]/?]
16091,21091023_151057,KaggleTestSnippet_HCA_1361_f.284v.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Boatson [bosun/boatswain] [of the Thomas and Lucy],Mariner,Boatson [bosun] [of the Thomas and Lucy],Describes Thomas and Lucy breaking free from a chain near Limehouse and colliding with the Mary of Greenwich,,,Thomas and Lucy,Mr Rande,,,,,,,England,N/A,Stepney,,Middlesex,34,1649,Guilielmus,,Ashurst,"[rising at chain near Limehouse, River Thames]"
16534,21091023_160318,KaggleTestSnippet_HCA_1361_f.531r_Two.PNG,HCA 13/61,Marke,N/A,Nauta [mariner]; Not employed in named ship; Knows the ship the Noah's Arke now called the Defense,Mariner,,,,,,,,,,,,,England,,,Kingston upon Hull,Yorkshire,54,1649,Thomas,,Aspinall,
16535,21091023_160318,KaggleTestSnippet_HCA_1361_f.531r_Three.PNG,HCA 13/61,Marke,N/A,Nauta [mariner]; Not employed in named ship; Knows the ship the Salem of Kingston upon Hull,Mariner,,,,,,,,,,,,,England,,,Kingston upon Hull,Yorkshire,54,1649,Thomas,,Aspinall,
16078,21091023_151010,KaggleTestSnippet_HCA_1361_f.278v_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,,,,,,Saint Giles,Petrus Clinckart [captain and commander],,,,,,,England,,,,,N/A,1649,Johannes,,Aurelius,NO VOYAGE DETAILS
16110,21091023_151413,KaggleTestSnippet_HCA_1361_f.307v_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,N/A,Interpreter,,,,Saint Gregorie of Hoorn,John Johnson Poortier,Hoorn [Holland; United Provinces],,,,,,England,,,N/A,,N/A,1649,John,,Aurelius,[River Thames]
16112,21091023_151506,KaggleTestSnippet_HCA_1361_f.310v_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,N/A,Interpreter,,,,Saint Gregorie of Hoorn,John Johnson Poortier,Hoorn [Holland; United Provinces],,,,,,England,,,N/A,,N/A,1649,John,,Aurelius,[River Thames]
16116,21091023_151555,KaggleTestSnippet_HCA_1361_f.316v_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,N/A,Interpreter,,,,Saint Gregorie of Hoorn,John Johnson Poortier,Hoorn [Holland; United Provinces],,,,,,England,,,N/A,,N/A,1649,John,,Aurelius,[River Thames]
16119,21091023_151648,KaggleTestSnippet_HCA_1361_f.323v_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,N/A,Interpreter,,,,Saint Gregorie of Hoorn,John Johnson Poortier,Hoorn [Holland; United Provinces],,,,,,England,,,N/A,,N/A,1649,John,,Aurelius,[River Thames]
16121,21091023_151708,KaggleTestSnippet_HCA_1361_f.326r_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,N/A,Interpreter,,,,Saint Gregorie of Hoorn,John Johnson Poortier,Hoorn [Holland; United Provinces],,,,,,England,,,N/A,,N/A,1649,John,,Aurelius,[River Thames]
16123,21091023_151733,KaggleTestSnippet_HCA_1361_f.329r_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,N/A,Interpreter,,,,Saint Gregorie of Hoorn,John Johnson Poortier,Hoorn [Holland; United Provinces],,,,,,England,,,N/A,,N/A,1649,John,,Aurelius,[River Thames]
16125,21091023_151759,KaggleTestSnippet_HCA_1361_f.332r_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,N/A,Interpreter,,,,Saint Gregorie of Hoorn,John Johnson Poortier,Hoorn [Holland; United Provinces],,,,,,England,,,N/A,,N/A,1649,John,,Aurelius,[River Thames]
16127,21091023_151825,KaggleTestSnippet_HCA_1361_f.335r_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,N/A,Interpreter,,,,Saint Gregorie of Hoorn,John Johnson Poortier,Hoorn [Holland; United Provinces],,,,,,England,,,N/A,,N/A,1649,John,,Aurelius,[River Thames]
16129,21091023_151901,KaggleTestSnippet_HCA_1361_f.338v_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,N/A,Interpreter,,,,Saint Gregorie of Hoorn,John Johnson Poortier,Hoorn [Holland; United Provinces],,,,,,England,,,N/A,,N/A,1649,John,,Aurelius,[River Thames]
16173,21091023_152310,KaggleTestSnippet_HCA_1361_f.365r_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,N/A,Interpreter,,,,Concord of Flushing,Peter Elinge [master],Vlissingen [Zeeland; United Provinces],,LADING: SALT; TOBACCO; WINE; SUGAR; PEPPER; CINNAMON; ROBBENING; YARN; OTHER LIKE COMMODITIES,,,,England,,,N/A,,N/A,1649,Johannes,,Aurelius,[Vlissingen [Zeeland; United Provinces]/La Rochelle [France]/Waterford [Ireland]/?]]
16175,21091023_152316,KaggleTestSnippet_HCA_1361_f.365v_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,N/A,Interpreter,,,,London of Flushing,Cornelius Griminghe [alt. Cornelius Croninge] [master],Vlissingen [Zeeland; United Provinces],,LADING: SALT; TOBACCO; WINE; SUGAR; PEPPER; CINNAMON; ROBBENING; YARN; OTHER LIKE COMMODITIES,,,,England,,,N/A,,N/A,1649,Johannes,,Aurelius,[Vlissingen [Zeeland; United Provinces]/La Rochelle [France]/Waterford [Ireland]/?]]
16402,21091023_154525,KaggleTestSnippet_HCA_1361_f.471v_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,Interpreter,,,,,Captain Tasse's ship of Amsterdam [man of war],Arent Williamson Tasse [captain],Amsterdam [Holland; United Provinces],,,,,,England,,,N/A,,N/A,1649,Johnannes,,Aurelius,[?/Between the Naze and the North Foreland [England]/?]
16404,21091023_154533,KaggleTestSnippet_HCA_1361_f.472v_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,Interpreter,,,,,Captain Tasse's ship of Amsterdam [man of war],Arent Williamson Tasse [captain],Amsterdam [Holland; United Provinces],,,,,,England,,,N/A,,N/A,1649,Johnannes,,Aurelius,[?/Between the Naze and the North Foreland [England]/?]
